Date,Open,High,Low,Close,Volume
2022-11-17 15:00:00+00:00,276.18,278.18,275.79,276.58,8202567.0
2022-11-17 16:00:00+00:00,276.57,279.08,276.42,279.04,5716457.0
2022-11-17 17:00:00+00:00,279.05,280.33,278.38,279.98,4810571.0
2022-11-17 18:00:00+00:00,279.99,280.59,279.48,279.92,4865599.0
2022-11-17 19:00:00+00:00,279.93,280.16,277.97,278.44,6083734.0
2022-11-17 20:00:00+00:00,278.43,279.21,277.05,279.12,13061984.0
2022-11-17 21:00:00+00:00,279.12,279.98,278.99,279.92,3107154.0
2022-11-17 22:00:00+00:00,279.92,280.03,279.11,279.9,201298.0
2022-11-17 23:00:00+00:00,279.94,280.22,279.28,279.28,137587.0
2022-11-18 00:00:00+00:00,279.32,279.73,279.24,279.73,83202.0
2022-11-18 09:00:00+00:00,279.31,280.68,279.24,280.14,80175.0
2022-11-18 10:00:00+00:00,280.0,281.56,279.88,281.43,62378.0
2022-11-18 11:00:00+00:00,281.56,281.65,281.02,281.34,55377.0
2022-11-18 12:00:00+00:00,281.22,282.05,281.17,281.46,307337.0
2022-11-18 13:00:00+00:00,281.69,282.2,278.42,282.01,430056.0
2022-11-18 14:00:00+00:00,281.98,282.24,279.72,280.14,6541091.0
2022-11-18 15:00:00+00:00,280.16,280.25,277.84,278.23,9901518.0
2022-11-18 16:00:00+00:00,278.24,279.28,277.59,278.44,4952120.0
2022-11-18 17:00:00+00:00,278.44,278.65,276.67,277.29,5521827.0
2022-11-18 18:00:00+00:00,277.29,278.34,277.16,277.55,4987474.0
2022-11-18 19:00:00+00:00,277.55,278.26,277.4,278.13,5167239.0
2022-11-18 20:00:00+00:00,278.15,279.89,278.08,279.08,11411420.0
2022-11-18 21:00:00+00:00,279.1,279.4,278.89,279.13,4643101.0
2022-11-18 22:00:00+00:00,279.23,279.25,278.99,279.04,57134.0
2022-11-21 09:00:00+00:00,278.26,278.26,276.98,277.32,67622.0
2022-11-21 10:00:00+00:00,277.37,277.55,276.83,277.05,42925.0
2022-11-21 11:00:00+00:00,276.92,277.2,276.62,276.78,42896.0
2022-11-21 12:00:00+00:00,276.8,277.11,276.46,277.07,147603.0
2022-11-21 13:00:00+00:00,276.9,279.33,276.46,277.78,389513.0
2022-11-21 14:00:00+00:00,277.83,278.89,277.21,278.01,5748571.0
2022-11-21 15:00:00+00:00,278.01,278.3,275.93,276.49,7253650.0
2022-11-21 16:00:00+00:00,276.46,277.21,275.69,276.01,4018759.0
2022-11-21 17:00:00+00:00,276.02,276.53,275.42,275.57,4905399.0
2022-11-21 18:00:00+00:00,275.56,277.32,275.52,276.52,4914408.0
2022-11-21 19:00:00+00:00,276.52,277.01,276.04,276.26,3729952.0
2022-11-21 20:00:00+00:00,276.24,276.81,275.98,276.19,6672289.0
2022-11-21 21:00:00+00:00,276.19,276.44,276.15,276.27,2349556.0
2022-11-21 22:00:00+00:00,276.35,276.35,276.15,276.16,151558.0
2022-11-21 23:00:00+00:00,276.17,276.39,276.12,276.32,44115.0
2022-11-22 00:00:00+00:00,276.36,277.04,276.36,276.73,131239.0
2022-11-22 09:00:00+00:00,275.38,277.1,275.38,276.94,82297.0
2022-11-22 10:00:00+00:00,276.95,277.03,276.5,276.75,32217.0
2022-11-22 11:00:00+00:00,276.91,276.91,275.83,276.16,30056.0
2022-11-22 12:00:00+00:00,276.25,276.93,276.1,276.74,257354.0
2022-11-22 13:00:00+00:00,276.16,277.54,275.3,277.45,517597.0
