Date,Close,High,Low,Open,Volume
2024-08-20,39.20000076293945,39.400001525878906,38.20000076293945,38.400001525878906,1010
2024-08-21,41.20000076293945,41.79999923706055,39.20000076293945,41.20000076293945,1065
2024-08-22,35.79999923706055,43.400001525878906,33.400001525878906,43.20000076293945,3370
2024-08-23,34.20000076293945,36.79999923706055,33.599998474121094,33.599998474121094,1770
2024-08-26,36.400001525878906,36.599998474121094,34.0,34.79999923706055,700
2024-08-27,33.400001525878906,33.79999923706055,30.200000762939453,33.79999923706055,34430
2024-08-28,34.599998474121094,34.79999923706055,31.0,34.400001525878906,1750
2024-08-29,34.0,34.599998474121094,33.0,33.400001525878906,1635
2024-08-30,34.20000076293945,35.400001525878906,33.599998474121094,35.400001525878906,2400
2024-09-03,33.400001525878906,36.0,32.0,35.599998474121094,2045
2024-09-04,34.79999923706055,35.400001525878906,33.0,35.400001525878906,2525
2024-09-05,36.0,38.79999923706055,35.20000076293945,35.20000076293945,4775
2024-09-06,35.79999923706055,38.20000076293945,34.20000076293945,38.20000076293945,1365
2024-09-09,35.20000076293945,36.599998474121094,33.79999923706055,35.0,2100
2024-09-10,35.0,36.0,34.0,34.79999923706055,1595
2024-09-11,35.20000076293945,36.0,33.400001525878906,33.79999923706055,1635
2024-09-12,34.79999923706055,36.0,33.400001525878906,35.0,1470
2024-09-13,35.599998474121094,36.79999923706055,33.79999923706055,34.0,3860
2024-09-16,34.0,37.0,33.599998474121094,35.0,2435
2024-09-17,33.79999923706055,34.599998474121094,33.20000076293945,34.0,1710
2024-09-18,32.20000076293945,33.400001525878906,31.600000381469727,32.79999923706055,365
2024-09-19,33.599998474121094,33.79999923706055,32.0,32.400001525878906,605
2024-09-20,32.400001525878906,33.20000076293945,31.799999237060547,33.20000076293945,125
2024-09-23,33.20000076293945,34.0,32.400001525878906,32.400001525878906,455
2024-09-24,33.400001525878906,34.20000076293945,33.400001525878906,33.599998474121094,125
2024-09-25,33.0,34.0,33.0,34.0,165
2024-09-26,34.400001525878906,35.0,33.400001525878906,34.400001525878906,1040
2024-09-27,34.400001525878906,36.79999923706055,32.400001525878906,33.400001525878906,1810
2024-09-30,38.0,40.599998474121094,34.0,34.400001525878906,5350
2024-10-01,35.20000076293945,37.0,33.599998474121094,34.400001525878906,6140
2024-10-02,39.20000076293945,39.20000076293945,35.20000076293945,35.400001525878906,1490
2024-10-03,38.400001525878906,38.599998474121094,36.79999923706055,36.79999923706055,1140
2024-10-04,43.0,43.599998474121094,37.0,37.79999923706055,42355
2024-10-07,37.79999923706055,52.0,36.0,44.599998474121094,28800
2024-10-08,37.400001525878906,38.599998474121094,34.400001525878906,35.400001525878906,4400
2024-10-09,34.599998474121094,38.0,34.20000076293945,37.0,2320
2024-10-10,33.0,35.400001525878906,32.400001525878906,35.20000076293945,2540
2024-10-11,33.400001525878906,34.599998474121094,32.599998474121094,33.400001525878906,600
2024-10-14,32.400001525878906,34.400001525878906,30.399999618530273,34.400001525878906,1065
2024-10-15,33.79999923706055,34.599998474121094,32.400001525878906,32.400001525878906,780
2024-10-16,30.600000381469727,33.400001525878906,29.200000762939453,33.400001525878906,1660
2024-10-17,32.400001525878906,32.599998474121094,31.0,31.0,530
2024-10-18,31.399999618530273,33.79999923706055,31.399999618530273,33.599998474121094,555
2024-10-21,29.600000381469727,32.400001525878906,27.200000762939453,31.399999618530273,1570
2024-10-22,27.799999237060547,29.600000381469727,27.799999237060547,29.600000381469727,765
